accuracy sparsity gamma-cutoff
3.021782040596008301e-01 2.482573916445871519e-03 9.195836186408996582e-01
2.946534752845764160e-01 7.494944622748270398e-03 9.347609413994683036e-01
2.518811821937561035e-01 6.626718364469509626e-02 9.499382641580369491e-01
3.576237559318542480e-01 1.905560999303462510e-01 9.651155869166055945e-01
2.724752426147460938e-01 4.045448642595368960e-01 9.802929096751742399e-01
2.118811905384063721e-01 6.091868727158042951e-01 9.954702324337429964e-01
2.344554513692855835e-01 8.197098154428915651e-01 1.010647555192311531e+00
1.805940568447113037e-01 9.310427991020907568e-01 1.025824877950880287e+00
2.067326754331588745e-01 9.669777192364061857e-01 1.041002200709448822e+00
2.071287184953689575e-01 9.888385365631530144e-01 1.056179523468017578e+00
