accuracy sparsity
7.251484990119934082e-01 2.482573916445871519e-03
7.302970290184020996e-01 7.494944622748270398e-03
7.223762273788452148e-01 6.626718364469509626e-02
6.986138820648193359e-01 1.905560999303462510e-01
6.867326498031616211e-01 4.045448642595368960e-01
6.257425546646118164e-01 6.091868727158042951e-01
5.013861656188964844e-01 8.197098154428915651e-01
3.675247430801391602e-01 9.310427991020907568e-01
3.417821824550628662e-01 9.669777192364061857e-01
2.677227854728698730e-01 9.888385365631530144e-01
